mrna_id,Pfs15,Nl0539,F-0543,Pfs16,Us1322,Es1314,Pfs5,Us1509,Pfs8,Pfs2,Pfs13,Pfs7,Pfs4,Pfs9,Pfs6,Pfs12,Us1324,A0340,Pfs11,Pfs14,Us1135,Pfs10,Pfs3,Pfs1
44baf9a3-467b-41e2-9b71-ea7481ab14d5,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0
454d7396-bcf9-4745-aa06-e7bd09f6ea95,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
47433632-1160-4e13-94f8-1e2c8010bea3,1.0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
4a7d0157-e759-4ec0-97dd-a177b2d518d7,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0
4f1e3cf1-184b-4b81-b6c4-51b28e3095a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
576a1090-30fc-4bc2-aef1-70d928ffb8ca,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
578697f6-fef7-46a3-a0c8-ce46d29bc4fb,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a68e3a9-5d64-48ad-931a-7756eea944c5,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,1.0,0,0,1.0,1.0,0,0,0
5b4d8ec2-236d-485a-add2-e7437f1bbb63,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,1.0,1.0,0,0,0
5b95f51d-ccc2-4117-b86b-4e8db749c38e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
5c0a8d85-39c5-4884-bbf4-cf7e52b161ea,1.0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,0,1.0,1.0,0,0
5cbeca0e-bf9d-4c77-82e0-1f46ffbbbc56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
5d4c7bc1-5168-4a9b-8f29-81c0c682a3da,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,1.0,0,0,1.0,1.0,0,0,0
5ec4ecfa-5948-456a-acc5-8891e85cd477,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0,0,0,0,0,0,0
5eeb1d8d-9de5-4a30-826b-e4431d32fe80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1.0,1.0,0,0,0
5f9fa7b3-4153-4dcd-a63c-deb828432d58,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
60731432-57c3-4507-995a-88f0ec46b35b,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616b710f-5659-4569-ad6a-26beeb342392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0
67193f55-f4a9-408a-8b85-6fe3013b6d43,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
6efbbc85-a852-4194-b764-914693d3af02,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700654d5-5850-444c-a494-3eaa4d49bcd4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0
7014058b-814b-4d68-9745-eb56c6051d1f,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7388b617-416d-4c89-8ec3-3c8a51957ff5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73a4bfa8-676e-4563-bda9-eada05658756,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0
