mrna_id,Pfs1,Pfs10,Pfs11,Pfs12,Pfs13,Pfs14,Pfs15,Pfs16,Pfs2,Pfs3,Pfs4,Pfs5,Pfs6,Pfs7,Pfs8,Pfs9
0b35f5c7-843e-4e77-bcf1-1d638b175d51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0bb9910d-9194-4f81-b6c4-cf2726c676a0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0d0165da-50ad-4e49-9bb8-1b0080c0c7c2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0d177589-f5cd-4bbe-8546-d07658da9486,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0
0d4078a1-8486-4a28-925d-b817aee5061c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0dd7a661-319d-4724-8a2d-753822c4a2f7,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1
0ed25e6e-4c07-4fa4-a615-4089698dd01e,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0
0ed4c7c1-4b56-4cb8-8869-145b5201672b,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1
0f12513c-3ceb-4e87-9145-2fed54e68296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100ce767-84d1-4ef3-add6-57417488ed9b,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
10e3d8c6-bf07-459c-8b62-dbe865056206,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
11520379-2ee3-4447-b96f-d828636ee63b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1159e88b-0215-42a5-8e00-06fba0a5cb63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11705655-822a-40c4-9e40-5566c1630fb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11802fe1-a64a-4577-88a3-0a19cadffb4c,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
11e4dc2d-9785-4855-bbe8-d6f0452b3432,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
11eec66b-4b1d-450b-a2ed-b9cf316a8495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12c65d36-9e09-4d89-ab15-586f581224e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
